Reserv.no., Itm,RcT,MvT,Material,Material description,ReqmtsDate,Reqmts qty,BUn,Qty. withdr.,BUn,Difference,BUn,PGr,Bin,User name,Base date,Plnt,SLoc,Plant,Rec.,Del,FIs,G/L acct,Cost ctr,Vendor
1215823712,1,,9L7,VAE3470,CLEAT 18 32 28.8,10.09.2025,300,PC,0,PC,300,PC,,,BP5018200,04.09.2025,8200,WM04,8200,WL02,,,,,
1215823720,1,,9L7,VAH3890,ARM BLOCK 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823728,1,,9L7,VEH2410,FRONT RAIL 001360,10.09.2025,100,PC,0,PC,100,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823729,1,,9L7,VEH2420,FRONT RAIL 001361,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823731,1,,9L7,VEH2430,FRONT RAIL 001362,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823732,1,,9L7,VEH2450,FRONT RAIL 001364,10.09.2025,190,PC,0,PC,190,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823733,1,,9L7,VEH2460,FRONT RAIL 001365,10.09.2025,130,PC,0,PC,130,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823734,1,,9L7,VAN6220,TOP BOARD ASSY 000147,10.09.2025,20,PC,0,PC,20,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823735,1,,9L7,VAN6230,TOP BOARD ASSY 000148,10.09.2025,60,PC,0,PC,60,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823737,1,,9L7,VEH2490,FRONT RAIL 001368,10.09.2025,90,PC,0,PC,90,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823739,1,,9L7,VAP0420,ARM ASSY L 000143,10.09.2025,60,PC,0,PC,60,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823741,1,,9L7,VAP0430,ARM ASSY R 000143,10.09.2025,60,PC,0,PC,60,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823743,1,,9L7,VEK9840,KEYBED UNIT 001359,10.09.2025,240,PC,0,PC,240,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823744,1,,9L7,VEK9850,KEYBED UNIT 001363,10.09.2025,270,PC,0,PC,270,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823751,1,,9L7,VAU4810,BOTTOM BOARD 000418,10.09.2025,300,PC,0,PC,300,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL07,,,,,
1215823755,1,,9L7,VGN0340,MUSIC REST ASSY 001921,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
